date,contents
2000-04-14,"[""924 – Hậu Đường Trang Tông sắc phong Cao Quý Hưng tước hiệu Nam Bình vương, khởi đầu nước Nam Bình."",""2002 – Tổng thống Venezuela Hugo Chávez phục chức sau khi bị quân đội quốc gia phế truất và giam giữ trong hai ngày.""]"
2000-04-15,"[""1865 – Gia Định báo được xuất bản lần đầu tại Sài Gòn, đây là tờ báo tiếng Việt đầu tiên viết bằng chữ Quốc ngữ."",""1912 – Tàu khách RMS Titanic chìm sau khi đụng vào một tảng băng trôi, khiến hơn 1.500 người thiệt mạng."",""1994 – Các đại biểu của 124 quốc gia và Cộng đồng Châu Âu ký Hiệp định Marrakesh tại Maroc về việc thành lập Tổ chức Thương mại Thế giới.""]"
2000-04-16,"[""69 – Hoàng đế La Mã Otho tự tử sau khi biết tin quân đội của ông thất trận, Đế quốc La Mã tránh được một cuộc nội chiến."",""1917 – Vladimir Lenin trở về Petrograd sau một thời gian lưu vong tại Thụy Sỹ và gia nhập phong trào Bolshevik."",""1947 – Cố vấn chính trị người Mỹ Bernard Baruch trở thành người đầu tiên sử dụng cụm từ ""Chiến tranh lạnh"" để miêu tả quan hệ Mỹ–Xô.""]"
2000-04-17,"[""1895 – Đại diện của Đại Nhật Bản và Đại Thanh ký Hiệp ước Shimonoseki, theo đó triều Thanh nhượng Đài Loan, Bành Hồ và bán đảo Liêu Đông cho Nhật Bản, kết thúc Chiến tranh Nhật–Thanh."",""1945 – Nhà giáo dục-sử học Trần Trọng Kim được bổ nhiệm làm thủ tướng của Đế quốc Việt Nam."",""1975 – Quân Khmer Đỏ đánh chiếm thủ đô Phnôm Pênh, quân Quốc gia Khmer đầu hàng, Nội chiến Campuchia kết thúc.""]"
2000-04-18,"[""1942 – Chiến tranh thế giới thứ hai: Hoa Kỳ tiến hành không kích Tokyo và các thành phố khác của Nhật Bản, là cuộc tấn công đầu tiên vào Chính quốc Nhật Bản."",""1951 – Pháp, Tây Đức, Ý và 3 nước Benelux là Bỉ, Luxembourg và Hà Lan ký kết Hiệp định Paris về việc thành lập Cộng đồng Than Thép châu Âu."",""1978 – Quân đội Campuchia Dân chủ vượt qua biên giới, bắt đầu tiến hành cuộc thảm sát Ba Chúc tại huyện Tri Tôn, tỉnh An Giang, Việt Nam.""]"
2000-04-19,"[""1770 – Nữ Đại công tước Maria Antonia của Áo kết hôn khiếm diện với Vương thái tử Louis của Pháp tại Viên, Áo."",""1839 – Hiệp ước London được ký kết, các cường quốc châu Âu công nhận và đảm bảo nền độc lập và trung lập của Bỉ, đồng thời cho Luxembourg độc lập hoàn toàn."",""1960 – Tại Hàn Quốc bùng phát phong trào kháng nghị ủng hộ dân chủ của học sinh chống đối Tổng thống Lý Thừa Vãn, buộc ông phải từ chức vài ngày sau đó.""]"
2000-04-20,"[""888 – Hoàng thái đệ Lý Kiệt kế vị hoàng đế triều Đường, tức Đường Chiêu Tông."",""1969 – Vjekoslav Luburić, cựu quản lý hệ thống trại tập trung của Nhà nước Độc lập Croatia, bị mật vụ Nam Tư ám sát ngay trong biệt thự của mình."",""1998 – Tổ chức khủng bố Phái Hồng quân tại Đức tuyên bố tự giải tán sau 28 năm hoạt động.""]"
2000-04-21,"[""1509 – Henry VIII trở thành quốc vương Anh và chúa Ireland."",""1975 – Chiến tranh Việt Nam: Xuân Lộc thất thủ, Nguyễn Văn Thiệu từ chức Tổng thống Việt Nam Cộng hòa, Trần Văn Hương kế nhiệm.""]"
2000-04-22,"[""1915 – Chiến tranh thế giới thứ nhất: Việc sử dụng khí độc trong đại chiến leo thang khi khí clo được giải phóng làm vũ khí hóa học trong Trận Ypres lần thứ hai tại Bỉ."",""1970 – Tổng thống Hàn Quốc Park Chung-hee đề xuất nhân rộng mô hình Phong trào Nông thôn Mới trên toàn quốc.""]"
2000-04-23,"[""1661 – Charles II làm lễ đăng quang quốc vương của Anh, Scotland và Ireland tại tu viện Westminster, Luân Đôn."",""1949 – Hải quân Quân Giải phóng Nhân dân Trung Quốc được thành lập tại Thái Châu, Giang Tô trong bối cảnh Quốc-Cộng nội chiến."",""1967 – Tàu vũ trụ Soyuz 1 của Liên Xô được phóng vào quỹ đạo, đem theo nhà du hành vũ trụ Vladimir Komarov."",""1993 – Người dân Eritrea bỏ phiếu ủng hộ độc lập từ Ethiopia với đa số áp đảo trong một cuộc trưng cầu dân ý do Liên Hiệp Quốc giám sát.""]"
2000-04-24,"[""1915 – Sự kiện bắt giữ 250 trí thức và lãnh đạo cộng đồng người Armenia tại Istanbul đánh dấu mốc khởi đầu nạn diệt chủng người Armenia.""]"
2000-04-25,"[""799 – Sau khi bị thị dân thành La Mã ngược đãi và làm biến dạng, Giáo hoàng Lêô III chạy trốn đến triều đình Francia của Charlemagne tại Paderborn để được bảo vệ."",""1644 – Quân Đại Thuận của Lý Tự Thành tiến vào Tử Cấm Thành, Sùng Trinh Đế tự vẫn, triều Minh diệt vong."",""1974 – Cách mạng hoa cẩm chướng: Một đội quân cánh tả tiến hành đảo chính tại Bồ Đào Nha, lật đổ chính quyền độc tài-bảo thủ Nhà nước Mới, và thiết lập một chính phủ dân chủ.""]"
